,Name,Rating,Price,Department
0,Fire TV Stick 4K streaming device with Alexa Voice Remote (includes TV controls) | Dolby…,4.7 out of 5 stars,$39.99,Amazon Devices & Accessories
1,Fire TV Stick (3rd Gen) with Alexa Voice Remote (includes TV controls) | HD streaming device,4.7 out of 5 stars,$39.99,Amazon Devices & Accessories
2,"Amazon Smart Plug, Works with Alexa – A Certified for Humans Device",4.7 out of 5 stars,$24.99,Amazon Devices & Accessories
3,"Echo Show 5 (1st Gen, 2019 release) -- Smart display with Alexa – stay connected with…",4.6 out of 5 stars,$44.99,Amazon Devices & Accessories
4,Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal,4.7 out of 5 stars,$39.99,Amazon Devices & Accessories
5,Fire TV Stick Lite with Alexa Voice Remote Lite (no TV controls) | HD streaming device,4.7 out of 5 stars,$29.99,Amazon Devices & Accessories
6,"Introducing Fire TV Stick 4K Max streaming device, Wi-Fi 6, Alexa Voice Remote (includes TV controls)",,$54.99,Amazon Devices & Accessories
7,Echo Dot (4th Gen) | Smart speaker with clock and Alexa | Glacier White,4.7 out of 5 stars,$59.99 - $84.94,Amazon Devices & Accessories
8,"Blink Mini – Compact indoor plug-in smart security camera, 1080 HD video, night vision,…",4.5 out of 5 stars,$34.99 - $84.99,Amazon Devices & Accessories
9,"Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",4.7 out of 5 stars,$49.99,Amazon Devices & Accessories
10,"Echo Show 5 (1st Gen, 2019 release) -- Smart display with Alexa – stay connected with…",4.6 out of 5 stars,$44.99,Amazon Devices & Accessories
11,Ring Chime Pro,4.5 out of 5 stars,$49.99,Amazon Devices & Accessories
12,"Fire 7 tablet, 7"" display, 16 GB, latest model (2019 release), Black",4.4 out of 5 stars,$49.99,Amazon Devices & Accessories
13,Ring Video Doorbell Wired with Ring Chime,4.5 out of 5 stars,$59.99 - $104.98,Amazon Devices & Accessories
14,"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa…",4.7 out of 5 stars,$59.99,Amazon Devices & Accessories
15,"Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life,…",4.4 out of 5 stars,$249.99,Amazon Devices & Accessories
16,"Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life,…",4.4 out of 5 stars,$179.99,Amazon Devices & Accessories
17,Echo Dot (4th Gen) | Smart speaker with Alexa | Twilight Blue,4.7 out of 5 stars,$49.99,Amazon Devices & Accessories
18,Ring Rechargeable Battery Pack,4.8 out of 5 stars,$29.99,Amazon Devices & Accessories
19,Alexa Voice Remote (2nd Gen) with power and volume controls – requires compatible Fire…,4.6 out of 5 stars,$29.99,Amazon Devices & Accessories
20,Insignia NS-32DF310NA19 32-inch Smart HD TV - Fire TV,4.6 out of 5 stars,$149.99,Amazon Devices & Accessories
21,Made for Amazon SanDisk 128GB microSD Memory Card for Fire Tablets and Fire -TV,4.6 out of 5 stars,$21.49,Amazon Devices & Accessories
22,"Fire 7 Kids Tablet, 7"" Display, ages 3-7, 16 GB, Blue Kid-Proof Case",4.6 out of 5 stars,$99.99,Amazon Devices & Accessories
23,"All-new Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, latest model (2021 release), Black",4.6 out of 5 stars,$149.99,Amazon Devices & Accessories
24,Ring Chime,4.6 out of 5 stars,$29.99,Amazon Devices & Accessories
25,"Ring Stick Up Cam Battery HD security camera with custom privacy controls, Simple setup,…",4.7 out of 5 stars,$99.99 - $284.97,Amazon Devices & Accessories
26,"Fire HD 8 tablet, 8"" HD display, 32 GB, latest model (2020 release), designed for portable…",4.6 out of 5 stars,$89.99,Amazon Devices & Accessories
27,Amazon Ethernet Adapter for Amazon Fire TV Devices,4.5 out of 5 stars,$14.99,Amazon Devices & Accessories
28,Ring Solar Panel Black - Compatible with Ring Spotlight Cam Battery and Stick Up Cam…,4.7 out of 5 stars,$49.99,Amazon Devices & Accessories
29,"Introducing Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light –…",,$189.99,Amazon Devices & Accessories
30,"All-new Ring Floodlight Cam Wired Plus with motion-activated 1080p HD video, White…",4.7 out of 5 stars,$179.99,Amazon Devices & Accessories
31,Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers),4.6 out of 5 stars,$9.99,Amazon Devices & Accessories
32,"Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life,…",4.4 out of 5 stars,$99.99,Amazon Devices & Accessories
33,"Made For Amazon, 15W Type-C Wall Charger with USB-C Cable - Black",4.6 out of 5 stars,$19.99,Amazon Devices & Accessories
34,"Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Charcoal",4.7 out of 5 stars,$99.99,Amazon Devices & Accessories
